"source_id","title","organization","source_type","crop","topic","url","downloaded_file","publication_date","updated_date","download_date","authority_tier","language","notes","verification_status"
"KM-RICE-001","Integrated Pest Management in Basmati Rice: IPM Strategy with Safe Pesticide Residue Rice Production","ICAR-National Research Centre for Integrated Pest Management","Technical bulletin","Rice / Paddy","Pests, diseases, IPM, ETL, seed treatment, transplanting, fertilizer, export residue safety","https://nriipm.res.in/ncipmpdfs/folders/BasmatiRiceReviseResige_.pdf","01_DEEP_CROPS/RICE/NRIIPM_Integrated_Pest_Management_in_Basmati_Rice.pdf","","","2026-08-31","TIER_1","English","Original ICAR-NCIPM PDF. PDF also contains validated IPM details and pesticide recommendations; re-check current registrations before operational use. Visible copyright notice; redistribution rights not assumed.","VERIFIED_SOURCE"
"KM-RICE-002","Web enabled weather based prediction for insect pests of rice","ICAR-National Research Centre for Integrated Pest Management","Technical bulletin","Rice / Paddy","Weather-linked pest prediction, pest management","https://nriipm.res.in/NCIPMPDFs/Publication/InsectPestsRice_.pdf","01_DEEP_CROPS/RICE/NRIIPM_Web_Enabled_Weather_Based_Prediction_for_Insect_Pests_of_Rice.pdf","","","2026-08-31","TIER_1","English","Original ICAR-NCIPM PDF. Static research reference; live forecasts must remain online.","VERIFIED_SOURCE"
"KM-RICE-003","Good Agricultural Practices","ICAR-Indian Institute of Rice Research","Official HTML resource","Rice / Paddy","Land preparation, varieties, establishment, weed, fertilizer, pests and diseases","https://icar-iirr.org/index.php/en/services/databases?id=284","01_DEEP_CROPS/RICE/ICAR_IIRR_Good_Agricultural_Practices.html","","","2026-08-31","TIER_1","English","Original ICAR-IIRR page snapshot. Page describes the GAP basket but is not a full package-of-practices manual.","OFFICIAL_SOURCE"
"KM-RICE-004","Vision Cover IIRR, Hyderabad","ICAR-Indian Institute of Rice Research","Vision document","Rice / Paddy","Rice research priorities, technologies, climate resilience","http://icar-iirr.org/IIRRVision2050.pdf","01_DEEP_CROPS/RICE/ICAR_IIRR_Vision_2050.pdf","","","2026-08-31","TIER_1","English","Original ICAR-IIRR PDF located from the institute domain. Vision document, not a farmer production manual.","VERIFIED_SOURCE"
"KM-RICE-005","The Science behind the System of Rice Intensification","ICAR / Krishi Knowledge Repository","Bulletin PDF","Rice / Paddy","Rice establishment and intensification","https://krishi.icar.gov.in/jspui/bitstream/123456789/6425/1/Bulletin_69.pdf","","","","2026-08-31","TIER_1","English","Original URL was identified but could not be downloaded in this pass because the repository fetch failed. Do not treat as downloaded.","UNAVAILABLE"
"KM-WHEAT-001","Development and Deployment of High Yielding Rust Resistant Wheat Varieties in India – Insights from Technology Transfer and Policy Response from the National Seed Production Program","ICAR-Indian Institute of Wheat and Barley Research; Society for Advancement of Wheat and Barley Research","Peer-reviewed journal article","Wheat","Varieties, seed replacement, rust resistance, technology transfer","https://epubs.icar.org.in/index.php/JWR/article/download/131519/50421/364671","01_DEEP_CROPS/WHEAT/ICAR_Wheat_Production_Research_Article.pdf","2023","","2026-08-31","TIER_2","English","Original ICAR e-publication PDF. Useful for variety/seed context; not a complete package of practices. Journal copyright applies.","VERIFIED_SOURCE"
"KM-WHEAT-002","ICAR RABI Agro-Advisory for Farmers 2021-22","Indian Council of Agricultural Research","Agro-advisory PDF","Wheat; Potato; Cotton","Rabi crop advisory, soil, fertilizer, crop protection, weather-linked guidance","https://icar.org.in/sites/default/files/2022-09/Rabi-Agro-Advisory-2021-22_0.pdf","01_DEEP_CROPS/WHEAT_ICAR_RABI_ADVISORY_2021_22.pdf","2021-22","","2026-08-31","TIER_1","English","Original ICAR advisory PDF; 65.96 MB. Historical advisory—do not use old rates or recommendations as current policy without revalidation.","VERIFIED_SOURCE"
"KM-TOMATO-001","Integrated Pest Management in Tomato","ICAR-National Research Centre for Integrated Pest Management","Technical bulletin","Tomato","Pests, diseases, symptoms, causal organisms, IPM, biological control, pesticides","https://nriipm.res.in/NCIPMPDFs/folders/Tomato_.pdf","01_DEEP_CROPS/TOMATO/NRIIPM_Integrated_Pest_Management_in_Tomato.pdf","2023-02","","2026-08-31","TIER_1","Hindi","Original ICAR-NCIPM Hindi PDF (Prasar Patrak-70). Strong CV-reference content for visual symptoms and confusable diseases; verify current pesticide labels.","VERIFIED_SOURCE"
"KM-TOMATO-002","Tomato Varieties","ICAR-Indian Institute of Vegetable Research","Official HTML resource","Tomato","Varieties, crop-specific institute resources","https://icariivr.org.in/tomato","01_DEEP_CROPS/TOMATO/ICAR_IIVR_Tomato_Varieties.html","","","2026-08-31","TIER_1","English/Hindi interface","Original ICAR-IIVR page snapshot. Dynamic page; inspect linked variety records individually before structured ingestion.","OFFICIAL_SOURCE"
"KM-COTTON-001","Integrated Pest Management in Cotton Crops","ICAR-National Research Centre for Integrated Pest Management","Technical bulletin","Cotton","Pests, diseases, IPM, monitoring, biological control","https://nriipm.res.in/ncipmpdfs/Publication/CottonTechnicalBulletin2022_.pdf","01_DEEP_CROPS/COTTON/NRIIPM_Integrated_Pest_Management_in_Cotton_Crops_2022.pdf","2022","","2026-08-31","TIER_1","Hindi","Original ICAR-NCIPM Technical Bulletin 48; the downloaded PDF is Hindi. Visible copyright notice; verify current pesticide labels/registrations.","VERIFIED_SOURCE"
"KM-POTATO-001","Potato production scenario and analysis of its total factor productivity in India","ICAR-National Institute of Agricultural Economics and Policy Research; Indian Journal of Agricultural Sciences","Peer-reviewed journal article","Potato","Production statistics, productivity, major producing states, historical data sources","https://epubs.icar.org.in/index.php/IJAgS/article/download/83339/34360/350026","01_DEEP_CROPS/POTATO/ICAR_Potato_Production_Scenario_and_Productivity.pdf","2018-09","","2026-08-31","TIER_2","English","Original ICAR journal PDF. Historical/statistical research, not a complete cultivation manual. Journal copyright applies.","VERIFIED_SOURCE"
"KM-POTATO-002","ICAR-Central Potato Research Institute official potato resources","ICAR-Central Potato Research Institute","Official HTML resource","Potato","Varieties, seed systems, institute research and publications","https://icarcpri.res.in/Content/Index/?qlid=11&&Ls_is=11&&lngid=1","01_DEEP_CROPS/POTATO/ICAR_CPRI_official_potato_resources.html","","","2026-08-31","TIER_1","English","Original ICAR-CPRI page snapshot. Direct PDF links were not exposed in the captured page; further publication-page review is required.","OFFICIAL_SOURCE"
"KM-KCC-001","Kisan Call Centre (KCC) - Transcripts of farmers queries & answers","Ministry of Agriculture and Farmers Welfare; Department of Agriculture and Farmers Welfare","Official open dataset/API","All five priority crops where records occur","Real farmer question phrasing, crop/topic combinations, query metadata, FTA answers","https://www.data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers","04_FARMER_QUESTIONS_KCC/KCC_transcripts_official_JSON_sample_1000_records.json","2024-07-12","2026-08-30","2026-08-31","TIER_1","Not specified","Official API sample of 1,000 records downloaded. Fields include Crop, QueryText, KccAns, StateName, DistrictName, BlockName, Season, Category, QueryType and CreatedOn. The page states Government Open Data License - India. Full export URL was identified, but limit=all returned zero bytes in this pass; use paginated API retrieval for complete data. Answers are historical and require current-source validation.","VERIFIED_SOURCE"
"KM-KCC-002","Kisan Call Centre","Department of Agriculture and Farmers Welfare","Programme overview PDF","All five priority crops where relevant","KCC purpose, local-language farmer support, programme context","https://agriwelfare.gov.in/sites/default/files/KCC%20WEBSITE.pdf","04_FARMER_QUESTIONS_KCC/DAFW_Kisan_Call_Centre_Overview.pdf","","","2026-08-31","TIER_1","English","Original Department of Agriculture and Farmers Welfare PDF. Programme overview; not a transcript dataset.","VERIFIED_SOURCE"
